app_slug,app_name,app_status,from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp,version_list_gap_size,version_list_boundary_exact
discord,Discord,done,<=0.59.x,3.1.10,18953,834579637,2020-02-03T18:56:26,0.61.x,3.2.0,19099,834665919,2020-02-18T17:49:32,0,true
discord,Discord,done,0.61.x,20.0,19811,835787821,2020-05-01T17:54:02,0.62.x,21.0,19965,835876880,2020-05-11T15:12:08,0,true
discord,Discord,done,0.62.x,87.0,27320,843583012,2021-08-13T00:18:36,0.64.x,88.2,27527,843764890,2021-08-24T07:52:16,2,false
discord,Discord,done,0.64.x,106.0,29538,845885357,2021-12-17T15:06:46,0.66.x,109.0,29659,846473402,2022-01-05T18:20:42,0,true
discord,Discord,done,0.66.x,132.0,33253,850254827,2022-06-17T14:35:50,0.67.x-0.68.x,133.0,33358,850422831,2022-06-24T16:31:00,0,true
discord,Discord,done,0.67.x-0.68.x,162.0,39121,854555328,2023-01-23T12:17:36,0.69.x-0.70.x,163.0,39243,854627233,2023-01-26T23:47:56,0,true
discord,Discord,done,0.69.x-0.70.x,190.0,47418,858815116,2023-08-04T14:22:38,0.71.x,191.0,47806,859116718,2023-08-10T23:49:32,0,true
discord,Discord,done,0.71.x,245.0,63641,868632088,2024-08-31T00:07:40,0.74.x-0.76.x,246.0,63933,868825701,2024-09-06T22:43:46,0,true
discord,Discord,done,0.74.x-0.76.x,279.0,77189,874658173,2025-05-09T06:38:08,0.78.x,280.0,77565,874850406,2025-05-16T06:36:48,0,true
discord,Discord,done,0.78.x,306.1,89123,880053648,2025-11-24T22:28:44,0.81.x,307.0,89215,880126085,2025-11-26T07:48:16,0,true
facebook-messenger,Facebook Messenger,done,unknown,91.0,40546824,819099576,2016-10-02T15:12:24,<=0.59.x,92.0,41023043,819183439,2016-10-08T09:13:24,0,true
facebook-messenger,Facebook Messenger,done,<=0.59.x,147.0,84235609,825227473,2017-12-12T09:16:54,unknown,148.0,86952252,825310109,2018-01-08T17:01:12,0,true
instagram,Instagram,sampled,unknown,9.3.0,38579444,818795448,2016-09-09T08:29:54,<=0.59.x,10.10.0,50667367,821056195,2017-02-23T14:15:16,18,false
instagram,Instagram,sampled,<=0.59.x,89.0,149781277,830905744,2019-04-11T15:07:06,0.60.x,104.0,164599121,832101581,2019-07-26T13:33:40,17,false
instagram,Instagram,sampled,0.60.x,104.0,164599121,832101581,2019-07-26T13:33:40,unknown,118.0,180988914,833368709,2019-11-01T17:18:24,17,false
